unigram,unigram_frequency
دیوارِ,2
مرنا,2
دیوے,2
فکرِ,2
کاو,2
تابدار,2
کان,2
برقِ,2
کامی,2
K,2
برسوں,2
دیے,2
ناتواں,2
اجتہاد,2
یوسف,2
ذرّہ,2
کشاد,2
دوستی,2
دردِ,2
تقویٰ,2
آبجو,2
درِ,2
مٹنا,2
آگاہی,2
آئينہ,2
آبِ,2
دادہٴ,2
دریغ,2
تقصیر,2
تقلید,2
آئنۂ,2
دامِ,2
دستار,2
بیزار,2
آہنگ,2
مِژہ,2
دستِ,2
تسخیر,2
دستی,2
درویشی,2
تشنۂ,2
داغوں,2
ہونا,2
قلندری,2
تعجب,2
قلندر,2
ہوسِ,2
بغل,2
دب,2
ہوشیار,2
تعلیم,2
کمر,2
درماندہ,2
درازی,2
کمخواب,2
تصور,2
انگیز,2
کمالِ,2
کمال,2
آگاہ,2
کلیم,2
دائم,2
مشعل,2
خویشتن,2
کشت,2
بسیں,2
دعوتِ,2
کشتہ,2
لؤ,2
ترکان,2
دفن,2
بستی,2
کوہکن,2
ہنگامہ,2
خونیں,2
دلبری,2
کشایش,2
ترجمہ,2
دلفروز,2
دلوں,2
کشادہ,2
ترکِ,2
مدّت,2
دعوت,2
کشوں,2
قیصر,2
دشنۂ,2
دعائیں,2
بیش,2
تلخیِ,2
کشتۂ,2
خیام,2
تسبیح,2
معراج,1
مزدوریِ,1
مشکیں,1
نکلنے,1
نگہبانئ,1
مشتمل,1
مشغولِ,1
مشق,1
مشک,1
مشکبار,1
مشتِ,1
مشرق,1
معرکے,1
امم,1
معتقدِ,1
مست,1
نوخیز,1
مشکبو,1
مشرب,1
معدن,1
نگاۂ,1
امتحانِ,1
مستانہ,1
مسائلِ,1
مزے,1
مستوری,1
نکلنا,1
معجزوں,1
معرکہ,1
مشکلیں,1
نوحہ,1
مصیبت,1
مستیٔ,1
نِدا,1
نگاریاں,1
امتیازِ,1
نگارِ,1
مطابق,1
مسلک,1
نُمو,1
نگاراں,1
نکما,1
نکہت,1
مشاہدہ,1
مسکیں,1
مسیح,1
مشت,1
نکھار,1
نکو,1
مضمونِ,1
مشاطۂ,1
مصوّری,1
مسیحا,1
مشاطگی,1
نکوہش,1
مسیحائی,1
مسیحائے,1
مضطرب,1
مطلق,1
نوکر,1
معتبر,1
معانی,1
مشتاقِ,1
نگاہیں,1
نوری,1
نوشت,1
مشتاقاں,1
امروزِ,1
نگاہانِ,1
مسرت,1
نکوبین,1
اطفال,1
مشتاق,1
نِگاہ,1
نوّابی,1
مسلمانوں,1
نگاھیں,1
مشہود,1
نومبر,1
امروز,1
مشہور,1
معاني,1
مصاحب,1
نومیدیٴ,1
مصرع,1
نِگاه,1
ناصاف,1
نعرہءحق,1
معشوق,1
نبض,1
نخواستہ,1
نثار,1
مکتبِ,1
مکتوب,1
مکرر,1
مکی,1
نبوت,1
نبضِ,1
مکیں,1
الدیار,1
الجھتے,1
نواہائے,1
نباہی,1
مہاجن,1
ناگزیرِ,1
ناکیہائے,1
ناکامئ,1
ناچیز,1
مہجوری,1
ناچار,1
مہربانی,1
ناپختہ,1
الرسل,1
نخچیروں,1
مکافات,1
مژۂ,1
مِنت,1
مِنّت,1
مٹاتا,1
نسبی,1
نسبوں,1
مٹانے,1
مٹتا,1
نزرِ,1
مژدہ,1
نزدیک,1
نزاکت,1
مژدۂ,1
نرالے,1
نذرانےنہ,1
ندیمِ,1
العصر,1
ندیم,1
الشعراء,1
مژہ,1
ندا,1
مژہٴ,1
التفات,1
ناوکِ,1
مہری,1
افشاندہ,1
نؤ,1
نئی,1
افق,1
ناتوانیِ,1
ناخواندہ,1
ناخوش,1
ناقہ,1
نادان,1
ناقوس,1
نادانئ,1
نادر,1
افشردۂ,1
نازاں,1
ناقص,1
نازِ,1
نازکیِ,1
ناسخ,1
ناسزا,1
ناشگفتہ,1
ناعاقبت,1
افشانیٔ,1
افگنِ,1
الا,1
مہریِ,1
الافلاک,1
مہریٴ,1
مہمانِ,1
مہمیز,1
مۂ,1
نامیِ,1
می,1
میان,1
افسون,1
نامِ,1
میخانہ,1
میخانے,1
میدان,1
ناموری,1
نامرد,1
نامراد,1
افسونِ,1
میدانِ,1
میدیِ,1
نالے,1
التجا,1
میراث,1
مِرے,1
نسریں,1
مُژدہ,1
الہوس,1
ملخ,1
ملنا,1
ملنے,1
نقص,1
ملو,1
اعجاز,1
اعراف,1
ملوک,1
نقابِ,1
ملوکانہ,1
ملوکیت,1
ملَک,1
ملکر,1
نفی,1
نفع,1
ملکوتی,1
الٰہی,1
ممنون,1
الٰہ,1
الِف,1
منتِ,1
نقل,1
نمازوں,1
نعل,1
مقرر,1
نوازی,1
معمارِ,1
معماے,1
معمورِ,1
نوازش,1
مغاں,1
نوائے,1
اعتبارِ,1
نوآموز,1
مغربیاں,1
مغربیوں,1
مغرور,1
مفت,1
مفسر,1
امامِ,1
مقامات,1
نمودِ,1
نموئے,1
نمو,1
نمناک,1
نمط,1
منحرف,1
النعشِ,1
مُند,1
موجود,1
نصاری,1
موجہٴ,1
نشینِ,1
افروزیِ,1
موسمِ,1
موعظہ,1
موقوف,1
موقوفِ,1
مولائے,1
نشور,1
مومنوں,1
موّحد,1
ميرے,1
مَاو,1
مَیں,1
مُحابا,1
مُدّت,1
افسانے,1
نسیم,1
مُدّعا,1
مُرغِ,1
افرنگ,1
موجزن,1
نظّاره,1
نصیبِ,1
منزلت,1
منزلوں,1
منسوب,1
نظری,1
منصور,1
منطق,1
منظر,1
الميعاد,1
منعم,1
نظاّرہ,1
نظام,1
منعِ,1
منفعل,1
منّتِ,1
منگول,1
نظارا,1
موافق,1
نطق,1
الم,1
نصیر,1
نصیحت,1
میدانءکربلا,1
بینیٔ,1
نگہِ,1
آفرینش,1
کہيں,1
آمدورفتِ,1
کہیو,1
کہیںجسے,1
آمادہ,1
آلِ,1
آلودہ,1
آفریدہ,1
آمدِ,1
کیخسرو,1
کیساتھ,1
کیسہ,1
کیف,1
کیمیا,1
کیونکر,1
کیڑا,1
کہوے,1
آموزی,1
آغوشِ,1
کھڑا,1
کھودیں,1
کھول,1
کھویا,1
کھيل,1
آنکہ,1
کھٹکتا,1
کھٹکے,1
کھڑے,1
کہلاؤ,1
کھیت,1
کھیل,1
کھینچنے,1
کھینچو,1
کھینچی,1
آن,1
کہتی,1
آفاق,1
کےبارے,1
کھوئی,1
گرگ,1
گرمانے,1
آشفتگاں,1
گرمیاں,1
گرمیٔ,1
گري,1
گرِ,1
آشامی,1
آسکھوں,1
آشفتگی,1
گریز,1
گریزاں,1
گریہ,1
گزارا,1
آسکا,1
گزرا,1
گزراں,1
گرمئی,1
گرفتہ,1
گاتی,1
آشنائے,1
گالیاں,1
گالیوں,1
گام,1
گاڑو,1
آشوب,1
گدازِ,1
گدایاں,1
گرا,1
گرفتاریٴ,1
گرانِ,1
گرتا,1
آشنائیاں,1
گردشوں,1
گردشِ,1
آشفتہ,1
گردِ,1
کھودنے,1
کھنیچتا,1
نگہہ,1
کشور,1
کشافؔ,1
کشاید,1
کشتنی,1
کشتوں,1
کشتِ,1
کشتی,1
کشمیر,1
آہو,1
آینہ,1
کشی,1
آہن,1
آں,1
کفیلِ,1
کلفتِ,1
کلہ,1
کلیمیؑ,1
آہیں,1
ابتدا,1
کمتر,1
اتارے,1
کرسکا,1
کرسکتافراز,1
کرشمہ,1
اتباع,1
کرمک,1
کرن,1
کرنیں,1
ابھریں,1
ابرو,1
کرونگا,1
ابنِ,1
کرکے,1
کریدتے,1
کریم,1
کرینگے,1
ابلۂ,1
کماں,1
کمند,1
کھنچ,1
آويں,1
آيئنہٴ,1
کوکب,1
کوکوئی,1
کوکہ,1
آوے,1
کوہسارا,1
کوۓ,1
کُلہ,1
کوچہ,1
کِھلنے,1
کٹ,1
کھاؤں,1
کھائے,1
کھتے,1
کھجاتا,1
کھلتا,1
کوچۂ,1
آيہ,1
کنار,1
کوئي,1
کنارے,1
کنج,1
کنجِ,1
کنشت,1
کنعاں,1
کهولنا,1
کوئ,1
آپکو,1
کوفہ,1
کواکب,1
کوتاہی,1
کوتاہیِ,1
کوثر,1
کوجے,1
کوزہ,1
کوشش,1
گزرِ,1
گزرپارس,1
آسودگئ,1
ہنِ,1
ہمدمی,1
ہمزہ,1
ہمکنار,1
ہنس,1
ہنسائیاں,1
ہنود,1
آبیٹھے,1
آبیٹھی,1
آثار,1
آبیارِ,1
آبگینہ,1
ہوئیں,1
ہواؤں,1
ہوافغان,1
ہواے,1
آبادِ,1
ہمدم,1
آجائیو,1
ہوجیے,1
آجاۓ,1
ہارے,1
آرائیاں,1
ہاے,1
ہدف,1
آدھ,1
ہرزہ,1
آداب,1
ہستیِ,1
ہلتے,1
ہستیٔ,1
ہشیار,1
ہفت,1
ہفتاد,1
ہلا,1
ہلاک,1
ہلاہل,1
آئیو,1
ہودہ,1
گزند,1
یوسفِ,1
Main,1
یاسِ,1
Kiray,1
ید,1
یزید,1
یعقوب,1
Ghar,1
یوم,1
Muqaddar,1
Chaltay,1
یٰسیں,1
Chalna,1
یکھتے,1
Berukhi,1
Badalty,1
یہود,1
Muhabbat,1
یاران,1
آئینی,1
Wafa,1
ہونہیں,1
ہونی,1
ہوگئے,1
آؤں,1
ہوۓ,1
ہيں,1
ہٹ,1
ہیولیٰ,1
Musafir,1
Thay,1
ہیہات,1
Tha,1
ہےآپ,1
ہےعلم,1
Rastay,1
یادگار,1
آرائیِ,1
آرائے,1
ھےکس,1
گنبد,1
گلہاے,1
گلیم,1
گلے,1
آسانوں,1
گمنام,1
گناھ,1
گناہگار,1
گنج,1
گلگونہ,1
گنجایشِ,1
گنجینۂ,1
گنج‌ہاۓ,1
گندم,1
گنو,1
گنوا,1
گنواؤ,1
گلگوں,1
گلگونِ,1
آرزوئیں,1
گفتۂ,1
گزیر,1
گستاخیِ,1
گستری,1
گشتۂ,1
گفت,1
گفتارِ,1
گفتنی,1
گلبانگ,1
گلچیں,1
گلخن,1
گلزارِ,1
گلستانِ,1
آستان,1
آسایشِ,1
گلفام,1
گلوں,1
گنہ,1
آس,1
گوارہ,1
ھدایت,1
گہہ,1
آزارِ,1
گیختہ,1
گیر,1
گیسوئے,1
آزادی,1
ھائے,1
ھستی,1
گوشِ,1
ھم,1
ھماری,1
ھمزہ,1
ھنر,1
آرہوں,1
ھوے,1
ھی,1
گہوارۂ,1
گہرائیوں,1
آزردگاں,1
گھڑي,1
گوشہٴ,1
گونجی,1
گونہ,1
گوں,1
آزمانا,1
گُلستاں,1
گُلِ,1
گِرادے,1
گِرفتار,1
گِلہ,1
گھائل,1
گھاس,1
گھبرا,1
آزری,1
گھستا,1
کردہ,1
کرد,1
اتحاد,1
پردا,1
پاہے,1
پایہ,1
پایۂ,1
پاۓ,1
پتا,1
پدر,1
پرانے,1
ارمان,1
ازلی,1
ارم,1
پرستش,1
پرستی,1
پرسشِ,1
پرفشانیِ,1
پرفشاں,1
پرنم,1
پانے,1
پاسِ,1
پروائے,1
ٹھہرے,1
ٹوٹا,1
ٹپکا,1
ٹکرائیں,1
ٹکڑے,1
ٹھہر,1
ٹھہرا,1
ٹھہری,1
ٹہنی,1
پازند,1
ٹیڑھا,1
استغنا,1
پاتا,1
پاتے,1
پاداشِ,1
پادشاہوں,1
پارہ,1
پروا,1
ارغواں,1
پکارے,1
پُر,1
ارتفاع,1
اربابِ,1
پوجتا,1
ارباب,1
ارادہ,1
پيش,1
پيغام,1
پُوچھ,1
پنبۂ,1
پُھول,1
پڑ,1
اذیت,1
پڑوں,1
پڑھنے,1
پڑھیئے,1
پڑیں,1
پندارِ,1
پلے,1
پروانۂ,1
پرہیز,1
پروانے,1
پرواہ,1
پروری,1
پرویزی,1
پرویں,1
پرُ,1
پرِ,1
پریشانئ,1
پلکوں,1
ارضپاک,1
پسر,1
ارزاں,1
پشت,1
پشیماں,1
پل,1
پلا,1
ٹوٹ,1
ٹمٹمائے,1
ِمحبت,1
واقف,1
نےاردو,1
نےگوش,1
اشعراء,1
وارث,1
وارستگی,1
وارستہ,1
واسطہ,1
وام,1
نیکیوں,1
وانگبیں,1
واویلا,1
اشارہ,1
واے,1
وبال,1
وبالِ,1
وجد,1
اشکِ,1
نیک,1
ِخیال,1
نہنگوں,1
نگۂ,1
نگینِ,1
نھیں,1
نہائے,1
نہانِ,1
نہانی,1
نہنگ,1
نہں,1
نیچے,1
نہیں*کرتے,1
نہیںرہا,1
نیت,1
نیرنگ,1
نیرنگِ,1
نیلگوں,1
اشیا,1
وجدان,1
وجودِ,1
وجہ,1
وھاں,1
وقفِ,1
ولایت,1
ومن,1
وَ,1
وَش,1
اسماعیل,1
وھ,1
اسرافیل,1
وحدت,1
اسرار,1
وہیں,1
ویرانئ,1
ویرانہ,1
استواری,1
يخلف,1
َوَرع,1
وقف,1
اسنے,1
وقار,1
وفورِ,1
وحشی,1
وخرج,1
ور,1
وسمۂ,1
اسکی,1
اسپند,1
وضعِ,1
وضو,1
وظیفہ,1
وعد,1
اسي,1
وفادار,1
وفاداری,1
وفاکرتے,1
وفاۓ,1
پکار,1
پھردھڑکنےکاحوصلہ,1
اتراتا,1
ڈھونڈھا,1
ڈسنے,1
ڈهونڈتا,1
ڈوبتی,1
ڈٹ,1
ڈھانپا,1
ڈھونڈ,1
ڈھونڈتےہو,1
ڈھونڈھنا,1
ڈالیے,1
ڈھونڈے,1
ک,1
احتیاط,1
اجڑے,1
کاؤ,1
کائنات,1
اجڑ,1
ڈرتا,1
ڈالی,1
کارخانۂ,1
احرام,1
احسان,1
چکناچور,1
چکّر,1
چکے,1
چگنے,1
چھلکا,1
چھٹنے,1
چھپی,1
چینیاں,1
چھین,1
چھینے,1
چھیڑ,1
چھیڑی,1
چھیڑے,1
چیتے,1
چینِ,1
کاربندِ,1
کارخانے,1
پھرنے,1
کتنا,1
کباب,1
کبريا,1
کبریا,1
کبریت,1
اتنے,1
کتابِ,1
کتب,1
کجا,1
کاں,1
کد,1
کده,1
کدوں,1
کدہ,1
اتفاق,1
کرامت,1
کربلا,1
کاہلی,1
کاٹے,1
کارفرما,1
کافی,1
کارگر,1
کاسۂ,1
کاشانہ,1
کاشانۂ,1
اجزا,1
کافری,1
کافوری,1
کامجھے,1
کاوِ,1
کامزہ,1
کامل,1
کامیاب,1
کاندھے,1
کانپ,1
اثرِ,1
کاوشہائے,1
چڑھتے,1
چپک,1
چِھن,1
پیرو,1
پیتا,1
پیدائی,1
اداے,1
پیران,1
پیراہن,1
پیرایہ,1
پیرایۂ,1
پیش,1
پیاسے,1
پیشِ,1
پیمائی,1
ادائیاں,1
پیماں,1
پیوست,1
پیوند,1
پیوں,1
پیامِ,1
ادبی,1
چيں,1
ادناہ,1
پھونکا,1
پھوٹی,1
پھوڑ,1
پھوڑنا,1
پھیرے,1
پہاڑوں,1
پہرہ,1
پہلےبقاوسلامتی,1
پیادہ,1
پہنچ,1
پہنچا,1
پہنچوں,1
پہنچی,1
پہچانتا,1
پہچانے,1
پہچاں,1
پیٹوں,1
پیٹھ,1
اخلاقِ,1
چنتا,1
چرخ,1
احکام,1
چشمک,1
چلو,1
چلیں,1
احمقوں,1
چمک,1
چنتی,1
پیکانِ,1
چنگاری,1
چنگیز,1
چهیڑ,1
چو,1
چور,1
چوری,1
چوکھٹ,1
چرایا,1
چرا,1
اختلاط,1
چاہیں,1
پیکرِ,1
پیے,1
چادر,1
اخلاص,1
اخفائے,1
چارۂ,1
چاندنی,1
اخذِ,1
چاکی,1
چاھے,1
چاہئیے,1
چاہئے,1
اختیارِ,1
اختیار,1
چاہوں,1
مزدور,1
فراغت,1
مزاج,1
دُردی,1
دوبارا,1
دورِ,1
دوری,1
دوریا,1
بریں,1
دوستاں,1
دوستدارِ,1
دوسرا,1
دوسروں,1
دولتِ,1
دولتے,1
بریدہ,1
دوڑائے,1
دوڑتے,1
دوڑے,1
ديکھوں,1
دَامانِ,1
دَاماں,1
دَہَنِ,1
دوانے,1
دوالی,1
بسائیں,1
دلستانی,1
بستیاں,1
دعاگو,1
دعویِ,1
دعوے,1
دفعِ,1
دقیق,1
دلاں,1
دلدار,1
دلستاں,1
بساز,1
دلق,1
بستم,1
دلپذیر,1
دلکشا,1
بستر,1
بسایا,1
دماوند,1
بسانِ,1
دَیں,1
دِل,1
دشمنِ,1
دِکر,1
برگِ,1
دیدۂِ,1
دیمک,1
برکاب,1
دینے,1
برپا,1
دیواروں,1
دیوان,1
دیوانگاں,1
دیوانگی,1
دیوانے,1
دیپ,1
برو,1
برنگِ,1
دیکھتا,1
برنگ,1
دیکھوں,1
برطرف,1
دیکھے,1
دیده,1
برگیبانِ,1
دیتی,1
دکھتے,1
دِکھا,1
دِیوار,1
دِیہ,1
دکان,1
دکھا,1
دکھاؤں,1
دکھائیو,1
دکھاتی,1
دکھلائیں,1
دیتِ,1
دھمکانے,1
دھو,1
دھوتا,1
دہان,1
دہقاں,1
دہناں,1
دیئے,1
برہنگی,1
دشمنی,1
دشمنوں,1
بجز,1
خیمۂ,1
خوردنِ,1
خورسند,1
خورشید,1
خورِ,1
بلبلیں,1
خوشبو,1
بلبلِ,1
بلب,1
بلاتی,1
خونچکاں,1
خوگر,1
بلاتا,1
خُو,1
خُوب,1
خُوبانِ,1
خُود,1
خُوں,1
بلاؤں,1
خیرہ,1
خور,1
بلندیِ,1
خودہی,1
خواں,1
خندۂ,1
بناتا,1
بنات,1
خوابوں,1
خواجگی,1
بنااُڑے,1
خوارِ,1
خوانیِ,1
خواھش,1
خودوں,1
خواہشِ,1
خواہشیں,1
بنائے,1
خوباں,1
خوبرویوں,1
خوبیِ,1
بلکہ,1
خودبین,1
خیز,1
داب,1
دشمناں,1
دابتے,1
درخور,1
بصیرت,1
دردمند,1
درست,1
درسِ,1
درمانِ,1
درمیاں,1
درو,1
درویشاں,1
درپردہ,1
درکار,1
بصر,1
بشکستہ,1
دریاۓ,1
دریچے,1
بشرطِ,1
دستاویز,1
دستک,1
بسر,1
درخشاں,1
درخت,1
بطحا,1
دامانِ,1
بقولِ,1
دادن,1
دادِ,1
دادۂ,1
داراب,1
دارِ,1
داستاں,1
بقدر,1
بغض,1
بعدِ,1
دامنی,1
دانا,1
دانائے,1
دانتوں,1
دانۂ,1
دبدبۂ,1
دبستاں,1
بغداد,1
دیگر,1
برسرِ,1
ذات,1
ریشہ,1
رکے,1
رگوں,1
بخیۂ,1
رہبر,1
رہبرِ,1
رہتا,1
رہتی,1
رہزن,1
رہزنی,1
رہن,1
رہو,1
رہوں,1
رہگزارِ,1
رہینِ,1
رہیو,1
بخششِ,1
ریختہ,1
ریز,1
ریزۂ,1
رکھیو,1
رکھو,1
رکھنا,1
رُخِ,1
روٹھ,1
روپ,1
روکا,1
روکشی,1
روکے,1
رویاں,1
رویوں,1
روے,1
رُوح,1
بدا,1
رُکنے,1
رِضواں,1
رچا,1
رک,1
رکا,1
رکاب,1
بدقسمت,1
بدر,1
ریشِ,1
ریـزئ,1
ذاقِ,1
ریگِ,1
زلفیں,1
زلیخا,1
زلیخائی,1
زمامِ,1
زمان,1
بجھائے,1
زمانۂ,1
زمرد,1
بجھا,1
زن,1
زنانِ,1
زناّر,1
بجُز,1
زنجیری,1
زندان,1
زندانئ,1
زنداني,1
زندانِ,1
زندانیِ,1
بجھتی,1
زشت,1
زرہ,1
زبا,1
رے,1
بخشد,1
زادوں,1
زارِ,1
زاری,1
زانوئے,1
زاہد,1
زاہدوں,1
زبان,1
زراپرنکل,1
زبانوں,1
زبانیِ,1
زبونی,1
زبونیِ,1
بختِ,1
زخمہ,1
زدگاں,1
بجھتے,1
رونقِ,1
روم,1
بدل,1
روشناس,1
راہبر,1
راہزن,1
راہگزر,1
بدناں,1
ربا,1
ربطِ,1
ربطیٴ,1
رت,1
رتبہ,1
رحمیِ,1
رخسار,1
رخسارِ,1
رخشندہ,1
رخشِ,1
رخصتِ,1
رخوں,1
رخِ,1
ردوبدل,1
ردیف,1
راھگزر,1
راکھ,1
راندۂ,1
برترہے,1
ذر,1
برسات,1
ذرّۂ,1
بردنِ,1
ذرۂ,1
ذلت,1
ذلیخا,1
بردن,1
ذَوقِ,1
بدگمانیِ,1
برابر,1
رائیگاں,1
برائی,1
راتیں,1
راج,1
راحت,1
بدی,1
راستے,1
رس,1
رسا,1
رسائی,1
روانی,1
رند,1
بدلی,1
رنگا,1
بدلہ,1
روؤں,1
روئے,1
روا,1
روادارِ,1
روایات,1
رنجِ,1
روتا,1
روحِ,1
رود,1
رودادِ,1
بدلتی,1
روزنِ,1
بدلتا,1
بدلا,1
رنجیدہ,1
رنجور,1
رسمِ,1
رفتۂ,1
رشتہٴ,1
بدم,1
رشی,1
رعشۂ,1
رعونت,1
رفت,1
رفتن,1
رفتگی,1
رفعت,1
رنجش,1
رفیق,1
رقابت,1
رقم,1
رم,1
رمزیں,1
رموز,1
رمِ,1
رمیدہ,1
خندۂ,1
خمیازۂ,1
خموشی,1
بہادرِ,1
تھما,1
تھمے,1
بہلتا,1
بہلانے,1
بہرہ,1
تہیّہ,1
تہیّۂِ,1
تیرنگِ,1
تیرِ,1
تیرہ,1
بہتر,1
بہتات,1
بہانۂ,1
تیزیِ,1
تیشے,1
تیل,1
تیمور,1
ثمر,1
ثنا,1
بہمن,1
تگہِ,1
تکمہ,1
توراں,1
تنکا,1
تنگئ,1
تنگنائے,1
تنگی,1
تواں,1
توبہ,1
توحید,1
تودے,1
تومیدی,1
تکلّف,1
بیانی,1
تَعبوں,1
تَفِ,1
تُو,1
تپاکِ,1
تکرار,1
تکرارِ,1
بہنے,1
ثوابِ,1
جائز,1
بھرپور,1
جائیو,1
جاگنے,1
جاگے,1
جاہ,1
جایا,1
جایے,1
بھلے,1
جبریانِ,1
جبین,1
جبینِ,1
جتنا,1
جتنے,1
جحیم,1
بھرے,1
جدائیاں,1
بھری,1
جذبات,1
جذبِ,1
جذبہ,1
جذبہٴ,1
جاوگے,1
جاؤ,1
جاوداں,1
بھَوں,1
بہائی,1
جات,1
بھیس,1
بھید,1
بھیجتا,1
جادہ,1
بھڑے,1
بھٹکے,1
جانانہ,1
جاودانیِ,1
جانب,1
بھي,1
بھولا,1
جانِ,1
جانگداز,1
جانیں,1
جانیہائے,1
جانیے,1
تنک,1
تنِ,1
تنقيد,1
تنظیم,1
تاروں,1
تازِ,1
تامل,1
تاویل,1
تجسس,1
تجمل,1
بین,1
بیمارِ,1
تحاشا,1
تحقیر,1
تحمل,1
تختۂ,1
تخلص,1
تخم,1
تدبیریں,1
تذکرۂ,1
بیمار,1
ترازو,1
ترانی,1
تاراج,1
تاختن,1
تاثیریں,1
بےضابطہ,1
بیٹھوں,1
بیک,1
بیکرانہ,1
بیگانگی,1
بیگانۂ,1
بیگانے,1
بینش,1
بےدماغی,1
بےمثال,1
تاثیرِ,1
بےنام,1
بےنور,1
بےچین,1
بینائی,1
تائب,1
بینا,1
تابانی,1
تابی,1
تراوش,1
ترجماں,1
ترستے,1
بیداری,1
تقاضائے,1
تقریب,1
تقلیدِ,1
تقوی,1
تلاش,1
تلافیِ,1
تلف,1
بیدل,1
بیدار,1
تفتۂ,1
تماشائی,1
تماشاۓ,1
تمنّا,1
تمکینِ,1
تمھاری,1
تمہارے,1
تمہیں,1
تمیز,1
تفصیر,1
تفاوت,1
ترسنے,1
تصوف,1
ترک,1
بیضا,1
تسکینِ,1
تسکیں,1
تشنگی,1
تشنہٴ,1
تشکیل,1
تصدیق,1
تصوّرِ,1
بیدلؔ,1
تصوّف,1
بیدلی,1
تصویریں,1
تصّورِ,1
تعبیرِ,1
تعبیریں,1
تعزیریں,1
تعلق,1
جذبۂ,1
جراحتِ,1
بنایا,1
بندیِ,1
حیثء,1
حیرانئ,1
بنیں,1
حیف,1
حیلہ,1
خارا,1
خاراشگافوں,1
خاص,1
خالِ,1
بنگر,1
خامسِ,1
بنياد,1
خاموشی,1
خاموشیوں,1
خانقہی,1
خانمان,1
خانمانِ,1
خانماں,1
بننے,1
بهر,1
حکیم,1
حکومت,1
بوالہوس,1
حسود,1
حسینِ,1
حضرت,1
حضوری,1
بوتراب,1
حقِ,1
حلاج,1
حلبی,1
حنائی,1
حکمت,1
حوالے,1
حورو,1
حوریان,1
حوصلے,1
حَلِ,1
حُسنِ,1
حِکمت,1
حکایت,1
خاں,1
خبراں,1
جرس,1
خجالت,1
خستگی,1
خستۂ,1
خسروؔ,1
خسروی,1
خشک,1
خصم,1
خطاب,1
خطاوار,1
خطرات,1
خطیب,1
خفائی,1
خفتہ,1
خلاف,1
بنتا,1
خلشِ,1
خلعت,1
خلل,1
خلوص,1
خلیق,1
خست,1
خزینءگراں,1
خزف,1
خرابات,1
خجل,1
خجلت,1
خجلتِ,1
خدائیاں,1
خداوندان,1
خداوندگار,1
خداوندی,1
خر,1
بندگیِ,1
خزانیِ,1
خردمندوں,1
خرشید,1
خرم,1
خروش,1
خرید,1
خریرِ,1
خریص,1
خرے,1
حسرتیں,1
بوس,1
حسد,1
حسابِ,1
بکف,1
جناح,1
بڑھتے,1
بڑھتا,1
جنّ,1
جنگاہ,1
جنھیں,1
جنہں,1
بڑھا,1
جوئیِ,1
جوئےشِیر,1
جوابا,1
جوار,1
جوانوں,1
جواپنے,1
جواں,1
جواہر,1
جودی,1
جور,1
جمالِ,1
جماعت,1
جمائے,1
بھرا,1
جرعہ,1
بھروں,1
بھروسا,1
جزقیس,1
جسارت,1
بھرم,1
جستجوۓ,1
جسم,1
بھاگے,1
جلوے,1
جفاخو,1
جفاکش,1
جلتے,1
جلنے,1
جلو,1
بھاری,1
جلوۂ,1
بگڑ,1
جومقام,1
جوچلا,1
جوڑ,1
حجازی,1
حاصلی,1
بُنِ,1
حالت,1
بُرائی,1
حاملِ,1
حبابِ,1
حجابِ,1
حجاج,1
حجرہ,1
حاسد,1
حجرۂ,1
حدیثِ,1
حر,1
حرص,1
بولنا,1
بولا,1
حریفاں,1
بوسے,1
بُو,1
حاجات,1
بچے,1
بچھائی,1
جوے,1
جُز,1
جُوئے,1
جُھوٹ,1
جچا,1
جگ,1
جگانے,1
جگایا,1
جگرِ,1
بُھولے,1
جگہ,1
جھلملاتی,1
جھوٹ,1
جھکا,1
جھکتی,1
بچوں,1
بِسمل,1
جیسی,1
زندگانیِ,1
زندہ,1
امن,1
فیضِ,1
فقیہان,1
فقیہہ,1
فلاطوں,1
فلسطیں,1
فلسفہ,1
فلسفی,1
اویس,1
فلکِ,1
فن,1
اوک,1
فوتِ,1
فُرصت,1
اونچی,1
فگار,1
فگاروں,1
فگن,1
فیصلہ,1
اونچا,1
اولیٰ,1
فقیری,1
فقیران,1
ايسي,1
فریدون,1
فرقتِ,1
اُسکو,1
اُسکا,1
فروزاں,1
فرہنگ,1
اَوّلِ,1
فریادِ,1
فریبِ,1
فسانہ,1
فقرِ,1
فسردگی,1
فسردہ,1
فسون,1
فضائیں,1
اَبرِ,1
فطرتیِ,1
فغفوری,1
ايک,1
فیضان,1
قائد,1
فرعون,1
قائل,1
قربتیں,1
قرطبہ,1
قریب,1
قریہ,1
انہيں,1
قصور,1
قصوروار,1
انہوں,1
قط,1
انھیں,1
قطرہٴ,1
قطرۂ,1
قفَسِ,1
قلزم,1
قلمِ,1
قلندروں,1
قناعت,1
قند,1
قّدِ,1
قرآن,1
قدرِ,1
قدرتِ,1
قالی,1
قابل,1
قابلی,1
قاتلوں,1
قاروں,1
قاصد,1
قاعدے,1
قافلہِ,1
قالب,1
قامتوں,1
اورنگ,1
قانون,1
قباے,1
قبر,1
قبلۂِ,1
قبلے,1
قبول,1
اوقات,1
قداں,1
فرقاں,1
فرض,1
زندیق,1
غزال,1
عکسِ,1
عہدِ,1
عید,1
عیسی,1
عین,1
عیوبِ,1
غائبانہ,1
غارت,1
غاروں,1
غازی,1
آنکھوں,1
